epoch,iteration,elpased_time
0,1,3.8872971534729004
0,2,2.7845399379730225
0,3,2.918275833129883
0,4,2.7937393188476562
0,5,2.54056715965271
0,6,2.5183773040771484
0,7,2.502044916152954
0,8,2.6198744773864746
0,9,2.7417819499969482
0,10,2.587526321411133
0,11,2.4682180881500244
0,12,2.5417537689208984
0,13,2.6415340900421143
0,14,2.518256187438965
0,15,2.6192615032196045
0,16,2.556274175643921
0,17,2.477221965789795
0,18,2.6169850826263428
0,19,2.7751152515411377
0,20,2.675130605697632
0,21,2.555086135864258
0,22,2.5482964515686035
0,23,2.464468479156494
0,24,2.5563442707061768
0,25,2.4948015213012695
0,26,2.482227087020874
0,27,2.6333978176116943
0,28,2.5229380130767822
0,29,2.5414884090423584
0,30,2.5376343727111816
0,31,2.446066379547119
0,32,2.4632062911987305
0,33,2.420569658279419
0,34,2.476168632507324
0,35,2.4771223068237305
0,36,2.6435446739196777
0,37,2.4287188053131104
0,38,2.7660460472106934
0,39,2.5012404918670654
0,40,2.5305111408233643
