epoch,iteration,elpased_time
0,1,2.424743413925171
0,2,1.5463736057281494
0,3,1.5357282161712646
0,4,1.5414280891418457
0,5,1.5637309551239014
0,6,1.4596328735351562
0,7,1.4213719367980957
0,8,1.543229103088379
0,9,1.6530346870422363
0,10,1.6807005405426025
0,11,1.6113860607147217
0,12,1.5511045455932617
0,13,1.3952968120574951
0,14,1.2843043804168701
0,15,1.5784039497375488
0,16,1.41032075881958
0,17,1.3068766593933105
0,18,1.3265385627746582
0,19,1.3789033889770508
0,20,1.6102869510650635
0,21,1.2796945571899414
0,22,1.3867747783660889
0,23,1.3420445919036865
0,24,1.5586512088775635
0,25,1.3786122798919678
0,26,1.3995771408081055
0,27,1.4383316040039062
0,28,1.5876023769378662
0,29,1.35965895652771
0,30,1.3902947902679443
0,31,1.6599202156066895
0,32,1.5650913715362549
0,33,1.4138591289520264
0,34,1.4567325115203857
0,35,1.3949463367462158
0,36,1.3325386047363281
0,37,1.3835399150848389
0,38,1.4961297512054443
0,39,1.4150769710540771
0,40,1.327915906906128
