epoch,iteration,elpased_time
0,1,3.225034713745117
0,2,2.3229479789733887
0,3,1.9814577102661133
0,4,1.9111239910125732
0,5,1.6490716934204102
0,6,1.7673559188842773
0,7,1.7486317157745361
0,8,1.8126962184906006
0,9,1.9444794654846191
0,10,1.8473751544952393
0,11,1.7032439708709717
0,12,1.8906302452087402
0,13,1.8811945915222168
0,14,1.886092185974121
0,15,2.0769355297088623
0,16,2.0341134071350098
0,17,1.9813542366027832
0,18,1.9109702110290527
0,19,1.9744799137115479
0,20,1.7782926559448242
0,21,1.8704419136047363
0,22,1.9057800769805908
0,23,1.904693603515625
0,24,1.8244028091430664
0,25,2.0821642875671387
0,26,1.6822278499603271
0,27,1.6164915561676025
0,28,1.7891876697540283
0,29,1.7688205242156982
0,30,1.7645583152770996
0,31,1.7430622577667236
0,32,1.699193000793457
0,33,1.7092924118041992
0,34,1.7677559852600098
0,35,1.9031927585601807
0,36,1.945664882659912
0,37,1.9468863010406494
0,38,1.9333908557891846
0,39,2.006120443344116
0,40,1.943192720413208
